,Image_name,Caption
0,im5_0.jpg,المغول والروس يتراشقون بِالنيران عند أسوار مسكوب.
1,im5_1.jpg,"A scene from Shakespare's هنري الرابع, Act II, Scene 4. Falstaff offers a false account of a skirmish between himself and eleven assailants."
2,im5_2.jpg,قصر وستمنستر، مقر برلمان المملكة المتحدة.
3,im5_3.JPG,أيل باويان من الحيوانات المستوطنة في الجزيرة
4,im5_4.JPG,مدينة بولا ريجيا الرومانية، بالقرب من جندوبة، تونس مع جبال خمير في الخلفية.
5,im5_5.jpg,صورة بن علي ملقاة في القمامة.
6,im5_6.png,منصة عزل الاهتزازات
7,im5_7.jpg,المولوية المصرية
8,im5_8.jpg,لويس مونتباتن في أقليم اراكان ببورما في 1 نوفمبر سنة 1944م
9,im5_9.jpg,طائرة متصلة بجسر إركاب لإنزال المسافرين
10,im5_10.jpg,ترمومتر بمقياس سليزيوس لقياس درجة الحرارة بفصل الشتاء وهي -17 درجة سليزيوس
11,im5_11.png,الفيكسليوم الروماني الوحيد الباقي، القرن الثالث الميلادي. متحف بوشكين للفنون الجميلة، روسيا
12,im5_12.png,المناطق العسكرية للإمبراطورية الروسية)
13,im5_13.jpg,بانوراما دنفر، 1898
14,im5_14.png,Add caption here
16,im5_16.jpg,خريطة قصر وستمنستر عام 1834، تُظهر موقع مجلسي البرلمان، قاعة وستمنستر، الغرفة المُلونة، بيت رئيس المجلس، وخزانة الدولة.
17,im5_17.jpg,بحر السكون
18,im5_18.jpg,طائر يعشعش أعلى البرج قد يتسبب في دارة قصر وانقطاع التيار.
19,im5_19.jpg,بندقية بولندية الصنع من طراز RWGŁ-3 تستخدم لإطلاق قنابل الغاز المسيل للدموع
20,im5_20.jpg,المكاتب الرئيسية في الولايات المتحدة للشركة في أريزونا
21,im5_21.png,موقع نهر زرافشان في آسيا الوسطى.
22,im5_22.jpg,غلاف كتاب تحفة المريد
23,im5_23.jpg,بوابة وبرج إيشنهايم (Eschenheimer Turm)
24,im5_24.jpg,أول جهاز عرض تلفزيوني صنعه تاكاياناغي، محفوظ في متحف إن إتش كي للبث في طوكيو.
25,im5_25.jpg,كريستسان شونباين (18أكتوبر 1799 - 29 أغسطس 1868
26,im5_26.jpg,بورتريه لدانتي أليجييري.
27,im5_27.jpg,إحدى أعمال باولو مندس داروشا.
28,im5_28.PNG,خريطة لبلدان العالم تبعًا للحالة التجارية لكل منها في أواخر القرن العشرين باستخدام تمايز المنظومة العالمية مقسمةً إلى بلدان جوهرية (بالأزرق)، وبلدان شبه هامشية (بالأرجواني)، وبلدان هامشية (بالأحمر).
29,im5_29.jpg,دينارٌ أُمويٌّ ضُرب في زمن الفتح الإسلامي للأندلُس.
30,im5_30.jpg,جزء من مظاهرة 9 أفريل
31,im5_31.jpg,دولة كونديناماركا ذات السيادة
32,im5_32.svg,تجميع للكودونات حسب الحجم المولي لرواسب الحمض الأميني و العلاج بالماء.
33,im5_33.PNG,بصل ومحصول الكراث في عام 2005
34,im5_34.JPG,The Sagres at OpSail 2000
35,im5_35.png,موقع وادي كلودزكو:  Central Sudetes     Eastern Sudetes
36,im5_36.png,خريطة لطرق التجارة الإسبانية البرتغالية في القرن السادس عشر، وتقع ممرات التجارة البحرية في القرن السادس عشر واليوم فريسة للقرصنة الإجرامية وقرصنة الدول.
37,im5_37.jpg,منظر جزئي لأطلال مركز بايلو كلوديا
38,im5_38.JPG,نصب شهداء الأهوار
39,im5_39.jpg,جامع شنني
40,im5_40.png,  منتخبات تأهلت لكاس العالم     منتخبات فشلت في التأهل     منتخبات لم تخوض التصفيات     دول ليست أعضاء في الفيفا وقتها.
41,im5_41.jpg,صفحة من 'Gart der Gesundheit'، 1485
42,im5_42.jpg,"قبر الجندي المجهول في أثينا. يمكن رؤية النقش ""731"" في الصف الأخير من النص المنحوت على الحجر على اليسار."
43,im5_43.jpg,أسطولا مصر وتركيا سنة 1841م
44,im5_44.jpg,صورة مجال واسع لـ أن جي سي 1579 من تلسكوب 0.8 متر شولمان الموجود في سكاي سنتر في جبل ليمون
45,im5_45.jpg,تاج محل في أغرة، الهند بناها الإمبراطور المغولي شاه جهان
46,im5_46.svg,خريطة تشرح سير عمليات الإبادة الأرمنية.[106]
47,im5_47.jpeg,إليزابيث باعتبارها أرملة رسمت 1642
48,im5_48.jpg,تجمع الموالين لحزب الله في بيروت في 10 ديسمبر 2006.
49,im5_49.jpg,صورة توماس لانجلويس ليفروي [الإنجليزية]، رئيس قضاة إيرلندا [الإنجليزية]، رسمها ويليام هنري موت [الإنجليزية] عام 1855. في سن كبيرة اعترف ليفروي لابن أخيه بحبه لجين وقال أنه حب صبياني.
50,im5_50.jpg,الأمير هنري الملاح ويعود إليه الفضل بصفته القوة الدافعة وراء اكتشافات البحرية البرتغالية.
51,im5_51.PNG,آسيا الوسطى حوالي 1450 م
52,im5_52.jpg,التهاب الجلد بعد التعرض للكيروسين
53,im5_53.jpg,عملة برتغالية فضية مسكوكة في الهند.
54,im5_54.jpg,أوبرست ريتشارد كول، قائد مجموعة جيوش الشمال في زي خاص.
55,im5_55.jpg,باب مكتبة جامع نابل الكبير.
56,im5_56.jpg,النيل الأبيض في كوستي
57,im5_57.jpg,كنيسة مريم المقدسة في مدينة طهران: تعتبر الكنيسة الأرمنية الأرثوذكسية أكبر الطوائف المسيحية في إيران.
58,im5_58.jpg,رجال ألمع - الشعبين
59,im5_59.gif,خريطة جمهورية الدومينيكان
60,im5_60.jpg,سجادة إيرانية قديمة
61,im5_61.jpg,جنديين فرنسيين في المشاة الاستعمارية ينزلون في مدغشقر عام 1895
62,im5_62.jpg,جعل محلول صلب في سائل من خلال إذابة ملح الطعام في الماء
63,im5_63.jpg,واقي الحوض
64,im5_64.jpg,القسم المغطى من القناة
65,im5_65.jpg,نقش يوضح مفهون اليان (عدم الأذى)
66,im5_66.svg,التركيب الكيميائي للطبرخي
67,im5_67.jpg,مطار الحبيب بورقيبة الدولي
68,im5_68.jpg,لوحة تصف البئر الذي رُمي به النبي يوسف بالقرب من رام الله والبيرة.
69,im5_69.jpg,نصب ذكرى عائلات الهوجونت البروتستانت، في جنوب أفريقيا، كان لأخلاقيتهم العملية أثر هام على الاقتصاد العالمي.
70,im5_70.jpg,صوره تظهر دوغلاس هيج و جوزيف جوفري أمام مقر القائد الفرنسي في شانتيلي في ديسمبر 1915
71,im5_71.png,الحبشة أو مملكة أكسوم، حيث كانت أولُ هجرة في الإسلام سنة خمس من النبوة
72,im5_72.jpg,أميرة محمد علي، سبتمبر 2019.
73,im5_73.JPG,تعبير فني لإحدى المدن من ألف ليلة وليلة.
74,im5_74.png,مصباح متوهج 230 فولت، بحجم متوسط أديسون 27 (E27)، مع وصلة مسننة، والحامل المئبر يتصل عرضياً بأسلاك التغذية الرأسية.
75,im5_75.jpg,كتابة مرآتية من القرن الثامن عشر الميلادي تظهر فن الخط في الدولة العثمانية ضمن كتابة تناظرية تحمل عبارة علي ولي الله.
76,im5_76.jpg,سوق بمدينة كونسو
77,im5_77.JPG,وادي سيباو
78,im5_78.jpg,صورة بالمنظار لمصاب بسرطانة غدية مريئية عند الوصلة المعدية المريئية.
79,im5_79.jpg,التصوير الملون.
80,im5_80.jpg,ملك البحرين والمستشارين جالسين  مع كيري في مستهل الاجتماع مؤتمر دعم وتنمية الاقتصاد المصري
81,im5_81.png,الحرب الاهلية الروسية في الجزء الاروبي من روسيا
82,im5_82.png,ميدالية نوبل
83,im5_83.jpg,غلاديتور 1 في سلاح الجو النرويجي في مرحلة ما قبل الحرب العالمية الثانية.
84,im5_84.PNG,صورة توضح مكان الناتئ الخشائي
85,im5_85.png,خارطة توضح تواجد الشتات اليوناني (القرن العشرين).
87,im5_87.jpg,عُصفُور يُغرِّد من ديلاوير بالولايات المتحدة.
88,im5_88.jpg,مؤتمر ILGA 2018، صورة جماعية للاحتفال بيوم التوعية بثنائية الجنس.
89,im5_89.svg,Welterbe.svg UNESCO logo.svg
90,im5_90.JPG,منظر الفندق من الجهة الشرقية
91,im5_91.jpg,يزداد معدل حدوث تسوس سنوي بشكل كبير مع الاستهلاك السنوي للفرد من السكر. البيانات المستندة إلى 10553 من الأطفال اليابانيين الذين تتم مراقبة أسنانهم المولية السفلى الأولى سنويًا من سن 6 إلى 11 عامًا. تسوس مرسومة على نطاق لوغاريتمي، لذلك الخط مستقيم.
92,im5_92.jpg,لي إيفانز بدور لارس
93,im5_93.jpg,كنيسة سانت ماري ستادلي رويال.
94,im5_94.PNG,مستخدمي تي-72 (المستخدمين السابقين باللون الأحمر)
95,im5_95.jpg,كريمس
96,im5_96.jpg,Sterling Airways دوغلاس دي سي-6 at مطار كوبنهاغن in 1968
97,im5_97.png,في اتجاه عقارب الساعة من الأعلى: الزهراوي ، عباس بن فرناس ، البريوني ، ابن سينا ، ابن رشد ، ابن النفيس ، بن موسى الخوارزمي ، الحازم ، ابن خلدون.
98,im5_98.jpg,عيسى مُصطفى
99,im5_99.jpg,القوات اعتبارا من 31 أغسطس وخطة الهجوم الألمانية.
100,im5_100.jpg,محطة طرفية حقيقية (DEC VT100)
101,im5_101.jpg,جزء من طريق نواكشوط - نواذيبو مزدوج.
102,im5_102.JPG,رولز رويس كيستريل
103,im5_103.jpg,منطقة التزلج على الجليد في الحديقة و في الخلفية قلعة فاجدونيايد
104,im5_104.png,تمثيل لبنية الأوزون.
105,im5_105.jpg,رواية الست كلمات، متعلقة بزوج أحذية طفل تعتبر مثالا قصويا للخيال الخاطف.
106,im5_106.jpg,حوض ماء الوضوء (نافورة) يني جامع (الجامع الجديد)، الذي أسسته صفية سلطان وأتمه من بعدها ابنها السطان محمد الثالث ثم أتم البناء السلطانة تورهان خديجة، وهو يقع في منطقة إمينونو بإسطنبول.
107,im5_107.jpg,نوازل بلورية في نيوزيلاندا
108,im5_108.gif,صورة متحركة لطريقة الخيط والمسمارين
109,im5_109.png,جمهورية التشيك تصدير 2007
110,im5_110.jpg,إحدى الفئات المستولدة من الغاردينيا الياسمينية
111,im5_111.jpg,الرئيس عبد المجيد تبون في قمة برلين حول ليبيا. 19 يناير 2020
112,im5_112.jpg,"الملائكة الصغيرة تحمل العقل, لأدريان دي فريس."
113,im5_113.png,سكان تاسيلاك خلال العقدين الماضيين. المصدر: إحصاءات جرينلاند.[6]
114,im5_114.jpg,المدخل الرئيسي لبرج لندن، والذي يعد اليوم من المزارات السياحية.
115,im5_115.jpg,القوات الألمانية تقدمت في الاتحاد السوفيتي في يونيو 1942
116,im5_116.jpg,لجين الهذلول الناشِطة الحقوقيّة التي اعتُقلت وعُذبت خلال حملة السلطات عام 2018 على النشطاء المناهضين للوِلاَية
117,im5_117.jpg,صورة جوية لجزء من الخط في فرنسا في عام 1920.
118,im5_118.jpg,البلاستيدات الملونة تكسب الأزهار والثمار الأوان لجذب الحشرات وبالتالي تساعد في عملية التلقيح
119,im5_119.jpg,Westerlund 2
120,im5_120.jpg,قطارة الامام علي في كربلاء
121,im5_121.jpg,كبة لبنية
