,Image_name,Caption
0,im0_0.JPG,زجاجيَّة في كاتدرائية القديس أندراوس تصور الملكة إيما والأسقف توماس ستالي.
1,im0_1.jpg,نجيب الإمام، أكثر لاعب أجنبي تسجيلاً للأهداف في ديربي السعودية  بـ 7 أهداف (رقم قياسي).
2,im0_2.png,خريطة لمملكة ميسان
3,im0_3.jpg,جندي روسي يحمل سلاح إيه كيه 74
4,im0_4.jpg,سديم رأس الساحرة العاكس في كوكبة الجبار.الضوء المنعكس هو ضوء نجم رجل الجبار.
5,im0_5.jpg,Louis le Débonnaire et la penance d'Attigny ، رسم توضيحي من عمل هنري مارتن ، L'Histoire de France Populaire ، نُشر عام 1875
6,im0_6.jpg,الممثل جمال دبوز من مغاربة فرنسا.
7,im0_7.jpg,منظر للمدينة من البحر
8,im0_8.jpg,حي أبو الطور وإطلالة على المسجد الأقصى
9,im0_9.jpg,جسر سي أو سه بل
10,im0_10.jpg,محطة يورنديجي
11,im0_11.jpg,المقر الرئيسي في سيجونغ
12,im0_12.jpg,مدفئة هالوجين.
13,im0_13.jpg,متحف سلفادور دالي
14,im0_14.jpg,جورج غاي (يميناً)، الناجي الوحيد من سرب VT-8 في المدمر TBD، أمام طائرته في 4 يونيو 1942
15,im0_15.JPG,إدوارد خيل
16,im0_16.jpg,مسرح غرومان من الخارج 1922
17,im0_17.jpg,صبار الSaguaros هو مكان مفضل للغناء منه بالنسبة لطير نمنمة الصبار
18,im0_18.jpg,"لافتة ""منظومة صقر بغداد الأمنية"" ما تزال موجودة في أعلى نقطة تفتيش في بغداد حتى أغسطس 2017 رغم توقف العمل بها (التقطت الصورة في يوليو 2017)"
19,im0_19.jpg,فستان الزفاف التلمساني
20,im0_20.JPG,صورة عامة لمبنى متحف ألمانيا الشرقية
21,im0_21.JPG,مدينة زحلة على الحافة الشرقية لسلسلة جبل لبنان في شرق لبنان.
22,im0_22.jpg,سان سيمون
23,im0_23.jpg,منظر لإحدى شواطئ مونتيغو باي
24,im0_24.JPG,شجرة مطاط
25,im0_25.jpg,أطلال قرطاج
26,im0_26.jpg,خواندي راموس
27,im0_27.jpg,كلب ترير أليف في عام 1875 (نوع ترير العرض الإنجليزي)
28,im0_28.jpg,سمكة قزم القوبيون
29,im0_29.png,الشيخ زايد بن سلطان آل نهيان يؤدي فن العرضة
30,im0_30.JPG,صرف صحي مفتوح في بلدة كوادزانا، هراري في عام 2004. وبحلول عام 2008، كانت مثل تلك المصارف تحمل الصرف والبراز من المناطق المجاورة مع انهيار نظام الصرف الصحي في المناطق الحضرية. وقد ساهم ذلك في الانتشار السريع لتفشي وباء الكوليرا.
31,im0_32.svg,شعار تيمور البرتغالية (1935-1975)[18]
32,im0_33.svg,سبب أهمية ساعات الخدمة: رسم بياني يوضح العلاقة بين عدد الساعات المدفوعة ونسبة الأعطال المتعلقة بإرهاق السائق. [1]
33,im0_34.jpg,خطاب شكر من رئيس مجلس إدارة جمعية إبصار الخيرية إلى محمد توفيق بلو عن تقديم فكرة الجمعية وإدارتها 2006
34,im0_35.jpg,نسخة من بردية وستكار المعروضة في متحف برلين المصري.
35,im0_36.jpg,CD- ROM محرك أقراص (بصرية)
36,im0_37.JPG,بلبل شائع في محمية قارون
37,im0_38.jpg,وحدة السكن في برلين، وهي مماثلة لنظريتها في مرسيليا.
38,im0_39.png,تماثيل وأدوات وأواني من عصر ما قبل الأسرات في مصر.
39,im0_40.png,خريطة البحرين 2014
40,im0_41.jpg,"زوارق الطوربيد <i id=""mwAsw"">Raubtier</i> - <i id=""mwAsw"">class</i>"
41,im0_42.jpg,تمثال لمتسلق الجبال السير إدموند هيلاري ناظرًا نحو جبل كوك.
42,im0_43.jpg,مخطوط في شرح ألفية ابن مالك
43,im0_44.jpg,جانب من مهرجان برلين السينمائي الدولي.
44,im0_45.png,Dragonera from Majorca.
45,im0_46.jpg,إلغاء الرسوم على الجسور عام 1880، مع إتجاه عقارب الساعة؛ الصورة تظهر إلقاء الخطاب عند إفتتاح جسر وندسوورث؛ سباق للوصول أولا إلى الجهة الأخرى لجسر بوتني؛ أمير وأميرة ويلز يغادرون جسر هامرسميث؛ ابنه حارس الجسر مع أميرة ويلز عند جسر بوتني.
46,im0_47.png,وفيات الالتهاب الرئوي والإنفلونزا في 122 مدينة أمريكية ، 5 سنوات حتى أكتوبر 2009
47,im0_48.jpg,نساء مقدونيات يصوتن لبرلمان جمهوريتي يوغوسلافيا ومقدونيا في عام 1945
48,im0_49.JPG,بور فؤاد
49,im0_50.svg,صناعة الفيسكوز من السليولوز
50,im0_51.jpg,زهيرات فلكسنر-فنترشتاين في الورم الأرومي الشبكي.
51,im0_52.jpg,سيارة فيراري 250 ، صنعت عام 1962م
52,im0_53.JPG,كاتدرائية القديس پيير بالرباط.
53,im0_54.png,Location of Hrazdan in Armenia
54,im0_55.JPG,فيريت مارك 2 في متحف هونغ كونغ
55,im0_56.jpg,قادش مرتدية غطاء رأس الإلهة حتحور و تقف على أسد، ممسكة بأزهار تجاه الإله مين و حيات تجاه الإله رشف.
56,im0_57.jpg,جذع العصب - صورة مجهرية تظهر الألياف العصبية في جذر العصب.
57,im0_58.png,كيسة أريمية مع كتلة الخلايا الداخلية والأرومة المغذية.
58,im0_59.jpg,محطة قطارات بيوڤوز التحتأرضية.
59,im0_60.jpg,جورج ميد
60,im0_61.jpg,نموذج من مخطوط
61,im0_62.png,رباعيات الخيام بالخط الفارسي
62,im0_64.jpg,جامع الزيتونة
63,im0_65.jpg,سلمى حايك وفرانسوا هنري بينولت في مهرجان كان 2017.
64,im0_66.JPG,جبل أحد، حيث وقعت المعركة الكبيرة بين المسلمين والمشركين.
